Time;FailureMean;FailureMean+Sqrt(Var);AnalyticalMean;AnalyticalMean+sqrt(Var);;Parameters:;
;3,78;5,67;9,99;13,15;;;
;3,79;5,68;9,99;13,15;;;
;3,75;5,65;9,99;13,15;;;
;3,74;5,67;9,99;13,15;;;
;3,72;5,61;9,99;13,15;;;
;3,71;5,61;9,99;13,15;;;
;3,7;5,58;9,99;13,15;;;
;3,69;5,59;9,99;13,15;;;
;3,68;5,52;9,99;13,15;;;
;3,65;5,49;9,99;13,15;;;
;3,62;5,46;9,99;13,15;;;
;3,66;5,53;9,99;13,15;;;
15,5;3,66;5,54;9,99;13,15;;;
;3,66;5,54;9,99;13,15;;;
;3,65;5,52;9,99;13,15;;;
;3,68;5,59;9,99;13,15;;;
;3,72;5,65;9,99;13,15;;;
;3,74;5,7;9,99;13,15;;;
;3,74;5,74;9,99;13,15;;;
;3,73;5,7;9,99;13,15;;;
;3,75;5,73;9,99;13,15;;;
;3,78;5,81;9,99;13,15;;;
;3,77;5,8;9,99;13,15;;;
;3,77;5,74;9,99;13,15;;;
;3,79;5,77;9,99;13,15;;;
;3,77;5,76;9,99;13,15;;;
;3,77;5,77;9,99;13,15;;;
;3,73;5,67;9,99;13,15;;;
;3,76;5,65;9,99;13,15;;;
;3,75;5,65;9,99;13,15;;;
16;3,68;5,56;9,99;13,15;;;
;3,69;5,56;9,99;13,15;;;
;3,64;5,51;9,99;13,15;;;
;3,67;5,57;9,99;13,15;;;
;3,67;5,61;9,99;13,15;;;
;3,71;5,72;9,99;13,15;;;
;3,7;5,63;9,99;13,15;;;
;3,72;5,61;9,99;13,15;;;
;3,71;5,59;9,99;13,15;;;
;3,66;5,56;9,99;13,15;;;
;3,68;5,59;9,99;13,15;;;
;3,71;5,61;9,99;13,15;;;
;3,73;5,62;9,99;13,15;;;
;3,69;5,6;9,99;13,15;;;
;3,71;5,64;9,99;13,15;;;
;3,69;5,63;9,99;13,15;;;
;3,69;5,62;9,99;13,15;;;
;3,69;5,61;9,99;13,15;;;
16,5;3,65;5,56;9,99;13,15;;;
;3,6;5,48;9,99;13,15;;;
;3,62;5,5;9,99;13,15;;;
;3,63;5,53;9,99;13,15;;;
;3,62;5,55;9,99;13,15;;;
;3,65;5,6;9,99;13,15;;;
;3,62;5,58;9,99;13,15;;;
;3,62;5,6;9,99;13,15;;;
;3,61;5,57;9,99;13,15;;;
;3,61;5,59;9,99;13,15;;;
;3,62;5,61;9,99;13,15;;;
;3,59;5,54;9,99;13,15;;;
;3,63;5,54;9,99;13,15;;;
;3,63;5,56;9,99;13,15;;;
;3,62;5,52;9,99;13,15;;;
;3,57;5,45;9,99;13,15;;;
;3,58;5,44;9,99;13,15;;;
;3,57;5,42;9,99;13,15;;;
17;3,62;5,47;9,99;13,15;;;
;3,65;5,54;9,99;13,15;;;
;3,64;5,53;9,99;13,15;;;
;3,65;5,5;9,99;13,15;;;
;3,67;5,53;9,99;13,15;;;
;3,7;5,6;9,99;13,15;;;
;3,69;5,61;9,99;13,15;;;
;3,72;5,62;9,99;13,15;;;
;3,76;5,69;9,99;13,15;;;
;3,74;5,67;9,99;13,15;;;
;3,74;5,68;9,99;13,15;;;
;3,73;5,67;9,99;13,15;;;
;3,72;5,65;9,99;13,15;;;
;3,72;5,64;9,99;13,15;;;
;3,71;5,65;9,99;13,15;;;
;3,72;5,64;9,99;13,15;;;
;3,72;5,62;9,99;13,15;;;
;3,72;5,63;9,99;13,15;;;
17,5;3,72;5,62;9,99;13,15;;;
;3,68;5,56;9,99;13,15;;;
;3,63;5,52;9,99;13,15;;;
;3,61;5,49;9,99;13,15;;;
;3,63;5,53;9,99;13,15;;;
;3,59;5,49;9,99;13,15;;;
;3,62;5,54;9,99;13,15;;;
;3,61;5,5;9,99;13,15;;;
;3,62;5,49;9,99;13,15;;;
;3,63;5,51;9,99;13,15;;;
;3,62;5,53;9,99;13,15;;;
;3,62;5,5;9,99;13,15;;;
;3,62;5,55;9,99;13,15;;;
;3,6;5,53;9,99;13,15;;;
;3,67;5,57;9,99;13,15;;;
;3,66;5,59;9,99;13,15;;;
;3,64;5,56;9,99;13,15;;;
;3,64;5,55;9,99;13,15;;;
18;3,62;5,51;9,99;13,15;;;
;3,57;5,47;9,99;13,15;;;
;3,61;5,5;9,99;13,15;;;
;3,61;5,53;9,99;13,15;;;
;3,59;5,48;9,99;13,15;;;
;3,56;5,48;9,99;13,15;;;
;3,56;5,47;9,99;13,15;;;
;3,58;5,5;9,99;13,15;;;
;3,58;5,45;9,99;13,15;;;
;3,6;5,5;9,99;13,15;;;
;3,58;5,46;9,99;13,15;;;
;3,56;5,47;9,99;13,15;;;
;3,54;5,44;9,99;13,15;;;
;3,54;5,47;9,99;13,15;;;
;3,55;5,44;9,99;13,15;;;
;3,56;5,48;9,99;13,15;;;
;3,6;5,53;9,99;13,15;;;
;3,6;5,49;9,99;13,15;;;
;3,64;5,55;9,99;13,15;;;
;3,67;5,57;9,99;13,15;;;
;3,64;5,48;9,99;13,15;;;
;3,61;5,44;9,99;13,15;;;
;3,57;5,43;9,99;13,15;;;
;3,56;5,4;9,99;13,15;;;
;3,56;5,42;9,99;13,15;;;
;3,58;5,42;9,99;13,15;;;
;3,51;5,33;9,99;13,15;;;
;3,53;5,35;9,99;13,15;;;
;3,53;5,36;9,99;13,15;;;
;3,52;5,34;9,99;13,15;;;
;3,54;5,41;9,99;13,15;;;
;3,51;5,41;9,99;13,15;;;
